id,name,description,action,priority,enabled,match_json
policy_c0c6c3e6,DDoS Mitigation,Block traffic from IPs exceeding DDoS threshold,BLOCK,100,1,"{""eth_type"": 2048}"
policy_394b745d,ICMP Flood Protection,Rate-limit ICMP echo requests to prevent ping flood,RATE_LIMIT,95,1,"{""eth_type"": 2048, ""ip_proto"": 1}"
policy_8215707a,Host Isolation,Isolate compromised hosts from network traffic,ISOLATE,90,0,{}
policy_52bcd740,Port Scan Prevention,Block IPs scanning more than 20 ports in 2 seconds,BLOCK,98,1,"{""eth_type"": 2048}"
policy_8575eb55,SYN Flood Protection,Drop excessive TCP SYN packets,DROP,97,1,"{""eth_type"": 2048, ""ip_proto"": 6, ""tcp_flags"": 2}"
policy_83e9655f,Traffic Mirroring,Redirect suspicious traffic to monitoring/honeypot port,REDIRECT,85,0,{}
policy_4a10134c,Malware Containment,Quarantine hosts exhibiting malware-like behavior,QUARANTINE,92,0,{}
policy_9b4af571,Known Malicious IPs,Block traffic from blacklisted IP addresses,BLOCK,99,1,"{""eth_type"": 2048}"
policy_ec749a31,DNS Amplification Protection,Rate-limit DNS responses to prevent amplification attacks,RATE_LIMIT,93,1,"{""eth_type"": 2048, ""ip_proto"": 17, ""udp_dst"": 53}"
policy_753188cd,Suspicious Traffic Logging,Log all traffic matching suspicious patterns for analysis,LOG_ONLY,80,1,{}
policy_57fb5632,ARP Spoofing Detection,Generate alert on ARP cache poisoning attempts,ALERT,88,1,"{""eth_type"": 2054}"
policy_38addef1,Invalid TCP Flags,Drop packets with invalid TCP flag combinations,DROP,96,1,"{""eth_type"": 2048, ""ip_proto"": 6}"
policy_121e5882,UDP Flood Protection,Rate-limit UDP traffic to prevent UDP flood attacks,RATE_LIMIT,94,1,"{""eth_type"": 2048, ""ip_proto"": 17}"
policy_ebde7977,Spoofed IP Protection,Block traffic from internal IP ranges on external interfaces,BLOCK,99,1,"{""eth_type"": 2048}"
policy_45a3d5ab,Rogue DHCP Server,Isolate unauthorized DHCP servers on the network,ISOLATE,91,1,"{""eth_type"": 2048, ""udp_src"": 67}"
policy_f2e0a6df,Test Policy 1,,BLOCK,50,1,"{""eth_type"": 2048}"
policy_6f1701d7,Test Policy 2,,LOG_ONLY,40,1,{}

